"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PISASCIENCE","GIRL","MEANSCORE","A","2012",519.124,
"AUT","PISASCIENCE","GIRL","MEANSCORE","A","2012",501.479,
"BEL","PISASCIENCE","GIRL","MEANSCORE","A","2012",502.9,
"CAN","PISASCIENCE","GIRL","MEANSCORE","A","2012",524.053,
"CZE","PISASCIENCE","GIRL","MEANSCORE","A","2012",507.855,
"DNK","PISASCIENCE","GIRL","MEANSCORE","A","2012",493.363,
"FIN","PISASCIENCE","GIRL","MEANSCORE","A","2012",553.893,
"FRA","PISASCIENCE","GIRL","MEANSCORE","A","2012",500.157,
"DEU","PISASCIENCE","GIRL","MEANSCORE","A","2012",524.391,
"GRC","PISASCIENCE","GIRL","MEANSCORE","A","2012",473.298,
"HUN","PISASCIENCE","GIRL","MEANSCORE","A","2012",492.803,
"ISL","PISASCIENCE","GIRL","MEANSCORE","A","2012",479.669,
"IRL","PISASCIENCE","GIRL","MEANSCORE","A","2012",520,
"ITA","PISASCIENCE","GIRL","MEANSCORE","A","2012",492.087,
"JPN","PISASCIENCE","GIRL","MEANSCORE","A","2012",540.959,
"KOR","PISASCIENCE","GIRL","MEANSCORE","A","2012",535.93,
"LUX","PISASCIENCE","GIRL","MEANSCORE","A","2012",483.484,
"MEX","PISASCIENCE","GIRL","MEANSCORE","A","2012",411.836,
"NLD","PISASCIENCE","GIRL","MEANSCORE","A","2012",520.415,
"NZL","PISASCIENCE","GIRL","MEANSCORE","A","2012",513.297,
"NOR","PISASCIENCE","GIRL","MEANSCORE","A","2012",496.346,
"POL","PISASCIENCE","GIRL","MEANSCORE","A","2012",527.149,
"PRT","PISASCIENCE","GIRL","MEANSCORE","A","2012",490.224,
"SVK","PISASCIENCE","GIRL","MEANSCORE","A","2012",467.385,
"ESP","PISASCIENCE","GIRL","MEANSCORE","A","2012",492.658,
"SWE","PISASCIENCE","GIRL","MEANSCORE","A","2012",488.513,
"CHE","PISASCIENCE","GIRL","MEANSCORE","A","2012",512.331,
"TUR","PISASCIENCE","GIRL","MEANSCORE","A","2012",468.622,
"GBR","PISASCIENCE","GIRL","MEANSCORE","A","2012",507.883,
"USA","PISASCIENCE","GIRL","MEANSCORE","A","2012",498.325,
"BRA","PISASCIENCE","GIRL","MEANSCORE","A","2012",403.949,
"CHL","PISASCIENCE","GIRL","MEANSCORE","A","2012",441.645,
"EST","PISASCIENCE","GIRL","MEANSCORE","A","2012",542.608,
"IDN","PISASCIENCE","GIRL","MEANSCORE","A","2012",383.459,
"ISR","PISASCIENCE","GIRL","MEANSCORE","A","2012",470.419,
"RUS","PISASCIENCE","GIRL","MEANSCORE","A","2012",489.058,
"SVN","PISASCIENCE","GIRL","MEANSCORE","A","2012",518.717,
"OECD","PISASCIENCE","GIRL","MEANSCORE","A","2012",500.406,
"OAVG","PISASCIENCE","GIRL","MEANSCORE","A","2012",500.406,
