"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PISAREAD","GIRL","MEANSCORE","A","2012",529.542,
"AUT","PISAREAD","GIRL","MEANSCORE","A","2012",508.021,
"BEL","PISAREAD","GIRL","MEANSCORE","A","2012",524.602,
"CAN","PISAREAD","GIRL","MEANSCORE","A","2012",540.657,
"CZE","PISAREAD","GIRL","MEANSCORE","A","2012",512.79,
"DNK","PISAREAD","GIRL","MEANSCORE","A","2012",511.529,
"FIN","PISAREAD","GIRL","MEANSCORE","A","2012",555.708,
"FRA","PISAREAD","GIRL","MEANSCORE","A","2012",526.765,
"DEU","PISAREAD","GIRL","MEANSCORE","A","2012",530.119,
"GRC","PISAREAD","GIRL","MEANSCORE","A","2012",502.198,
"HUN","PISAREAD","GIRL","MEANSCORE","A","2012",507.549,
"ISL","PISAREAD","GIRL","MEANSCORE","A","2012",508.39,
"IRL","PISAREAD","GIRL","MEANSCORE","A","2012",537.669,
"ITA","PISAREAD","GIRL","MEANSCORE","A","2012",509.945,
"JPN","PISAREAD","GIRL","MEANSCORE","A","2012",550.724,
"KOR","PISAREAD","GIRL","MEANSCORE","A","2012",548.207,
"LUX","PISAREAD","GIRL","MEANSCORE","A","2012",503.024,
"MEX","PISAREAD","GIRL","MEANSCORE","A","2012",435.272,
"NLD","PISAREAD","GIRL","MEANSCORE","A","2012",524.761,
"NZL","PISAREAD","GIRL","MEANSCORE","A","2012",529.765,
"NOR","PISAREAD","GIRL","MEANSCORE","A","2012",527.771,
"POL","PISAREAD","GIRL","MEANSCORE","A","2012",538.687,
"PRT","PISAREAD","GIRL","MEANSCORE","A","2012",507.562,
"SVK","PISAREAD","GIRL","MEANSCORE","A","2012",483.303,
"ESP","PISAREAD","GIRL","MEANSCORE","A","2012",502.511,
"SWE","PISAREAD","GIRL","MEANSCORE","A","2012",509.135,
"CHE","PISAREAD","GIRL","MEANSCORE","A","2012",527.064,
"TUR","PISAREAD","GIRL","MEANSCORE","A","2012",498.64,
"GBR","PISAREAD","GIRL","MEANSCORE","A","2012",511.534,
"USA","PISAREAD","GIRL","MEANSCORE","A","2012",513.269,
"BRA","PISAREAD","GIRL","MEANSCORE","A","2012",424.734,
"CHL","PISAREAD","GIRL","MEANSCORE","A","2012",452.371,
"EST","PISAREAD","GIRL","MEANSCORE","A","2012",537.833,
"IDN","PISAREAD","GIRL","MEANSCORE","A","2012",410.408,
"ISR","PISAREAD","GIRL","MEANSCORE","A","2012",507.451,
"RUS","PISAREAD","GIRL","MEANSCORE","A","2012",495.144,
"SVN","PISAREAD","GIRL","MEANSCORE","A","2012",510.15,
"OECD","PISAREAD","GIRL","MEANSCORE","A","2012",515.427,
"OAVG","PISAREAD","GIRL","MEANSCORE","A","2012",515.427,
