"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EDUEXP","TRY","PC_GDP","A","2012",1.6,
"AUS","EDUEXP","PRY_NTRY","PC_GDP","A","2012",4,
"AUT","EDUEXP","TRY","PC_GDP","A","2012",1.7,
"AUT","EDUEXP","PRY_NTRY","PC_GDP","A","2012",3.1,
"BEL","EDUEXP","TRY","PC_GDP","A","2012",1.4,
"BEL","EDUEXP","PRY_NTRY","PC_GDP","A","2012",4.3,
"CAN","EDUEXP","TRY","PC_GDP","A","2012",2.5,
"CAN","EDUEXP","PRY_NTRY","PC_GDP","A","2012",3.6,
"CZE","EDUEXP","TRY","PC_GDP","A","2012",1.4,
"CZE","EDUEXP","PRY_NTRY","PC_GDP","A","2012",2.8,
"DNK","EDUEXP","TRY","PC_GDP","A","2012",,"M"
"DNK","EDUEXP","PRY_NTRY","PC_GDP","A","2012",4.7,
"FIN","EDUEXP","TRY","PC_GDP","A","2012",1.8,
"FIN","EDUEXP","PRY_NTRY","PC_GDP","A","2012",3.9,
"FRA","EDUEXP","TRY","PC_GDP","A","2012",1.4,
"FRA","EDUEXP","PRY_NTRY","PC_GDP","A","2012",3.8,
"DEU","EDUEXP","TRY","PC_GDP","A","2012",1.2,
"DEU","EDUEXP","PRY_NTRY","PC_GDP","A","2012",3.1,
"GRC","EDUEXP","TRY","PC_GDP","A","2012",,"M"
"GRC","EDUEXP","PRY_NTRY","PC_GDP","A","2012",,"M"
"HUN","EDUEXP","TRY","PC_GDP","A","2012",1.2,
"HUN","EDUEXP","PRY_NTRY","PC_GDP","A","2012",2.6,
"ISL","EDUEXP","TRY","PC_GDP","A","2012",1.2,
"ISL","EDUEXP","PRY_NTRY","PC_GDP","A","2012",4.7,
"IRL","EDUEXP","TRY","PC_GDP","A","2012",1.3,
"IRL","EDUEXP","PRY_NTRY","PC_GDP","A","2012",4.4,
"ITA","EDUEXP","TRY","PC_GDP","A","2012",0.9,
"ITA","EDUEXP","PRY_NTRY","PC_GDP","A","2012",3,
"JPN","EDUEXP","TRY","PC_GDP","A","2012",1.5,
"JPN","EDUEXP","PRY_NTRY","PC_GDP","A","2012",2.9,
"KOR","EDUEXP","TRY","PC_GDP","A","2012",2.3,
"KOR","EDUEXP","PRY_NTRY","PC_GDP","A","2012",3.7,
"LUX","EDUEXP","TRY","PC_GDP","A","2012",0.4,
"LUX","EDUEXP","PRY_NTRY","PC_GDP","A","2012",3.3,
"MEX","EDUEXP","TRY","PC_GDP","A","2012",1.3,
"MEX","EDUEXP","PRY_NTRY","PC_GDP","A","2012",3.9,
"NLD","EDUEXP","TRY","PC_GDP","A","2012",1.7,
"NLD","EDUEXP","PRY_NTRY","PC_GDP","A","2012",3.8,
"NZL","EDUEXP","TRY","PC_GDP","A","2012",1.9,
"NZL","EDUEXP","PRY_NTRY","PC_GDP","A","2012",5,
"POL","EDUEXP","TRY","PC_GDP","A","2012",1.3,
"POL","EDUEXP","PRY_NTRY","PC_GDP","A","2012",3.4,
"PRT","EDUEXP","TRY","PC_GDP","A","2012",1.3,
"PRT","EDUEXP","PRY_NTRY","PC_GDP","A","2012",4.5,
"SVK","EDUEXP","TRY","PC_GDP","A","2012",1,
"SVK","EDUEXP","PRY_NTRY","PC_GDP","A","2012",2.7,
"ESP","EDUEXP","TRY","PC_GDP","A","2012",1.2,
"ESP","EDUEXP","PRY_NTRY","PC_GDP","A","2012",3.1,
"SWE","EDUEXP","TRY","PC_GDP","A","2012",1.7,
"SWE","EDUEXP","PRY_NTRY","PC_GDP","A","2012",3.7,
"TUR","EDUEXP","TRY","PC_GDP","A","2012",1.4,
"TUR","EDUEXP","PRY_NTRY","PC_GDP","A","2012",3,
"GBR","EDUEXP","TRY","PC_GDP","A","2012",1.8,
"GBR","EDUEXP","PRY_NTRY","PC_GDP","A","2012",4.5,
"USA","EDUEXP","TRY","PC_GDP","A","2012",2.8,
"USA","EDUEXP","PRY_NTRY","PC_GDP","A","2012",3.6,
"ARG","EDUEXP","TRY","PC_GDP","A","2012",,"M"
"ARG","EDUEXP","PRY_NTRY","PC_GDP","A","2012",,"M"
"CHL","EDUEXP","TRY","PC_GDP","A","2012",2.5,
"CHL","EDUEXP","PRY_NTRY","PC_GDP","A","2012",3.6,
"CHN","EDUEXP","TRY","PC_GDP","A","2012",,"M"
"CHN","EDUEXP","PRY_NTRY","PC_GDP","A","2012",,"M"
"COL","EDUEXP","TRY","PC_GDP","A","2012",1.9,
"COL","EDUEXP","PRY_NTRY","PC_GDP","A","2012",4.5,
"EST","EDUEXP","TRY","PC_GDP","A","2012",1.6,
"EST","EDUEXP","PRY_NTRY","PC_GDP","A","2012",3.2,
"IND","EDUEXP","TRY","PC_GDP","A","2012",,"M"
"IND","EDUEXP","PRY_NTRY","PC_GDP","A","2012",,"M"
"IDN","EDUEXP","TRY","PC_GDP","A","2012",0.8,
"IDN","EDUEXP","PRY_NTRY","PC_GDP","A","2012",2.5,
"ISR","EDUEXP","TRY","PC_GDP","A","2012",1.6,
"ISR","EDUEXP","PRY_NTRY","PC_GDP","A","2012",4.4,
"LVA","EDUEXP","TRY","PC_GDP","A","2012",1.4,
"LVA","EDUEXP","PRY_NTRY","PC_GDP","A","2012",2.8,
"RUS","EDUEXP","TRY","PC_GDP","A","2012",1.4,
"RUS","EDUEXP","PRY_NTRY","PC_GDP","A","2012",2.3,
"SAU","EDUEXP","TRY","PC_GDP","A","2012",,"M"
"SAU","EDUEXP","PRY_NTRY","PC_GDP","A","2012",,"M"
"SVN","EDUEXP","TRY","PC_GDP","A","2012",1.2,
"SVN","EDUEXP","PRY_NTRY","PC_GDP","A","2012",3.7,
