marque;puiss_adm;puiss_max;conso_urb;conso_exurb;conso_mixte;co2;test_1;test_2;masse;gamme;carburant
ALFA-ROMEO 159;12;147;11.30000019;5.800000191;7.800000191;182;0.647000015;0.032000002;1505;MOY-SUPER;ES
ALFA-ROMEO 4C;14;177;9.800000191;5;6.800000191;157;0.404000014;0.037999999;995;LUXE;ES
ALFA-ROMEO GIULIETTA;7;88;8.399999619;5.300000191;6.400000095;149;0.356000006;0.026000001;1355;MOY-INFER;ES
ALFA-ROMEO MITO;5;77;5;3.799999952;4.199999809;99;0.316000015;0.034000002;1205;INFERIEURE;ES
ALFA-ROMEO SPIDER;9;125;7.099999905;4.400000095;5.400000095;142;0.188999996;0.155000001;1615;SUPERIEURE;GO
ASTON MARTIN CYGNET;5;72;5.800000191;4.5;5;116;0.296000004;0.021;1063;INFERIEURE;ES
ASTON MARTIN D89;44;381;21.60000038;10;14.30000019;333;0.187000006;0.028999999;1860;LUXE;ES
AUDI A3;5;77;5.900000095;4.400000095;4.900000095;114;0.180999994;0.030999999;1225;MOY-INFER;ES
AUDI A4;8;110;5.400000095;4;4.5;119;0.143999994;0.137999997;1555;MOY-SUPER;GO
BENTLEY CONTINENTAL;57;460;23;10.10000038;14.89999962;347;0.672999978;0.028000001;2570;LUXE;ES
BMW 525;12;160;6;4.5;5;133;0.061999999;0.165999994;1730;SUPERIEURE;GO
BMW 535;20;225;11;6.400000095;8.100000381;188;0.187999994;0.012;1840;SUPERIEURE;ES
CITROEN C3;5;68;4.900000095;3.599999905;4.099999905;107;0.340000004;0.150999993;1155;INFERIEURE;GO
CITROEN C4;9;115;10.5;5.599999905;7.300000191;169;0.773000002;0.045000002;1609;MOY-SUPER;ES
FIAT 500C;4;51;6.400000095;4.300000191;5.099999905;119;0.27700001;0.014;980;ECONOMIQUE;ES
FIAT DOBLO;6;66;7.099999905;5.300000191;6;158;0.172999993;0.173999995;1575;INFERIEURE;GO
FIAT SCUDO;8;94;8.199999809;6.300000191;7;183;0.351000011;0.187999994;2001;MOY-INFER;GO
FORD TRANSIT;8;92;8.800000191;6.699999809;7.5;197;0.460999995;0.268000007;2057;MOY-INFER;GO
HONDA ACCORD;9;110;8.199999809;5.199999809;6.300000191;164;0.108999997;0.143000007;1743;MOY-SUPER;GO
HYUNDAI I 30;5;81;4.199999809;3.599999905;3.799999952;100;0.128999993;0.142000005;1365;MOY-INFER;GO
JAGUAR XF;15;177;11.60000038;6.099999905;8.100000381;189;0.159999996;0.016000001;1730;SUPERIEURE;ES
JEEP GRAND CHEROKEE;27;259;20.89999962;10.19999981;14.10000038;329;0.681999981;0.024;2382;SUPERIEURE;ES
KIA VENGA;5;66.19999695;7.199999809;5.300000191;6;140;0.128000006;0.026000001;1253;INFERIEURE;ES
LADA PRIORA;6;72;9;5;6.5;150;0.513999999;0.025;1178;MOY-INFER;ES
